106
10	60
20	70
30	60
40	70
50	60
60	70
70	60
80	70
90	60
100	70
110	60
120	70
130	60
140	70
150	60
160	70
170	60
180	70
190	60
200	70
210	60
220	70
230	60
240	70
250	60
260	70
260	50
250	40
240	50
230	40
220	50
210	40
200	50
190	40
180	50
170	40
160	50
150	40
140	50
130	40
120	50
110	40
100	50
90	40
80	50
70	40
60	50
50	40
40	50
30	40
20	50
10	40
10	30
20	20
30	30
40	20
50	30
60	20
70	30
80	20
90	30
100	20
110	30
120	20
130	30
140	20
150	30
160	20
170	30
180	20
190	30
200	20
210	30
220	20
230	30
240	20
250	30
260	20
260	10
250	0
240	10
230	0
220	10
210	0
200	10
190	0
180	10
170	0
160	10
150	0
140	10
130	0
120	10
110	0
100	10
90	0
80	10
70	0
60	10
50	0
40	10
30	0
20	10
10	0
0	0
0	60
